3197687,Jean,Dupond,jean.dupond@etu.upmc.fr,Master BIM,2018,1
3729286,Jacques,Normand,jacques.normand@etu.upmc.fr,L3 DANT,2018,1
3144562,Fréderic,Colique,frederic.colique@etu.upmc.fr,L3 DANT,2018,1
3723128,Oussama,Pasfaitrire,oussama.pasfaitrire@etu.upmc.fr,L3 DANT,2018,1
3321928,Jeremy,Savant,jeremy.savant@etu.upmc.fr,Master BIM,2018,2
3415827,Jimmy,Dupond,jimmy.dupond@etu.upmc.fr,L3 DANT,2018,2
3393279,Nicolas,Nitoupe,nicolas.nitoupe@etu.upmc.fr,L3 DANT,2018,2
3535082,Manuel,Norcam,manuel.norcam@etu.upmc.fr,Master BIM,2018,2
3653340,Anthony,Besnard,anthony.besnard@etu.upmc.fr,L3 DANT,2018,3
3514665,Aurelien,Petit,aurelien.petit@etu.upmc.fr,Master BIM,2018,3
3515840,Clara,Thomas,clara.thomas@etu.upmc.fr,L3 DANT,2018,3
3471110,Julien,Granger,julien.granger@etu.upmc.fr,L3 DANT,2018,3
